variation,stock_multiplier,transport_cost_multiplier,price_pressure_multiplier,total_released_mt,remaining_stock_mt,total_transport_cost_rs,status
Baseline (Default Parameters),1.0,1.0,1.0,20000.0,115000.0,16125000.0,Optimal
Available Stock (-10%),0.9,1.0,1.0,20000.0,101500.0,16125000.0,Optimal
Available Stock (+10%),1.1,1.0,1.0,20000.0,128500.0,16125000.0,Optimal
Transport Cost (+20%),1.0,1.2,1.0,20000.0,115000.0,19350000.0,Optimal
Price Pressure (+10%),1.0,1.0,1.1,20000.0,115000.0,16125000.0,Optimal
